customer_id,age,gender,region,signup_days_ago,lifetime_value,loyalty_tier
C00001,43,Male,Southeast,1372,77.8,Bronze
C00002,36,Male,Northeast,290,74.74,Bronze
C00003,45,Male,Southwest,1334,33.35,Bronze
C00004,56,Male,Southeast,1382,510.7,Silver
C00005,35,Male,Southeast,1177,515.37,Silver
C00006,35,Female,Northeast,1529,522.8,Silver
C00007,56,Female,Southeast,307,322.5,Silver
C00008,47,Female,Southwest,122,35.88,Bronze
C00009,32,Male,Southeast,988,97.12,Bronze
C00010,44,Male,Southwest,1600,285.25,Bronze
C00011,32,Male,Southwest,852,276.43,Bronze
C00012,32,Other,Northeast,157,200.24,Bronze
C00013,40,Female,Northeast,561,341.05,Silver
C00014,18,Female,Southwest,802,247.27,Bronze
C00015,18,Male,Southeast,196,272.79,Bronze
C00016,31,Female,Northeast,860,137.67,Bronze
C00017,25,Male,Southeast,265,592.18,Silver
C00018,41,Female,Midwest,1085,166.05,Bronze
C00019,27,Female,West,1284,73.88,Bronze
C00020,21,Female,Northeast,220,122.25,Bronze
C00021,55,Female,Northeast,686,178.82,Bronze
C00022,35,Male,Southwest,642,598.61,Silver
C00023,38,Female,West,1644,235.56,Bronze
C00024,20,Female,Midwest,1561,206.95,Bronze
C00025,31,Male,West,1510,79.54,Bronze
C00026,39,Male,Midwest,1725,496.18,Silver
C00027,24,Male,West,284,136.08,Bronze
C00028,42,Male,Southeast,1332,223.63,Bronze
C00029,30,Male,Southeast,1753,927.2,Gold
C00030,34,Female,West,1002,386.79,Silver
C00031,30,Male,Southeast,1775,56.52,Bronze
C00032,60,Male,Southwest,1806,49.77,Bronze
C00033,37,Female,Southeast,1109,230.93,Bronze
C00034,25,Female,Southwest,678,82.15,Bronze
C00035,47,Female,Southwest,135,438.65,Silver
C00036,23,Male,Southeast,1634,254.18,Bronze
C00037,40,Female,West,1755,283.96,Bronze
C00038,18,Female,Midwest,221,129.53,Bronze
C00039,22,Male,Southwest,1032,1172.91,Gold
C00040,40,Male,Midwest,1331,3160.02,Gold
C00041,46,Female,West,1597,190.43,Bronze
C00042,40,Female,Midwest,204,336.21,Silver
C00043,36,Female,Southeast,1823,267.11,Bronze
C00044,34,Female,Northeast,664,193.69,Bronze
C00045,20,Female,Midwest,114,115.72,Bronze
C00046,29,Female,West,977,92.16,Bronze
C00047,32,Male,West,757,88.06,Bronze
C00048,50,Male,West,1269,352.38,Silver
C00049,42,Male,Southeast,1067,153.28,Bronze
C00050,18,Female,Midwest,1090,24.04,Bronze
C00051,41,Female,Northeast,1080,365.17,Silver
C00052,33,Female,West,1717,236.41,Bronze
C00053,29,Male,Southwest,1629,822.22,Gold
C00054,45,Female,Southeast,99,342.34,Silver
C00055,50,Male,Northeast,183,64.66,Bronze
C00056,49,Male,Northeast,1491,32.89,Bronze
C00057,27,Female,West,794,128.06,Bronze
C00058,34,Female,West,300,139.41,Bronze
C00059,41,Other,West,570,571.83,Silver
C00060,49,Male,Southeast,1127,242.75,Bronze
C00061,32,Female,West,600,678.8,Silver
C00062,35,Male,West,1808,74.27,Bronze
C00063,24,Male,Southeast,178,583.32,Silver
C00064,23,Female,Midwest,1559,468.2,Silver
C00065,47,Female,Northeast,39,39.79,Bronze
C00066,54,Female,Midwest,673,804.61,Gold
C00067,37,Male,Southwest,1555,266.16,Bronze
C00068,50,Female,Midwest,91,348.22,Silver
C00069,42,Male,West,1441,112.35,Bronze
C00070,30,Female,Midwest,803,771.03,Silver
C00071,42,Male,Northeast,1783,84.16,Bronze
C00072,56,Male,Midwest,1285,517.43,Silver
C00073,37,Female,Midwest,1637,512.11,Silver
C00074,56,Female,Southeast,557,101.82,Bronze
C00075,18,Male,Northeast,1603,1458.31,Gold
C00076,47,Male,Southeast,1742,301.38,Silver
C00077,39,Female,Northeast,474,440.76,Silver
C00078,34,Male,Northeast,1374,61.9,Bronze
C00079,39,Male,Southeast,1136,1645.76,Gold
C00080,18,Male,Southeast,1487,81.28,Bronze
C00081,35,Male,Southwest,46,615.48,Silver
C00082,42,Female,Southeast,398,99.95,Bronze
C00083,55,Female,West,1721,140.18,Bronze
C00084,31,Female,Midwest,713,497.64,Silver
C00085,28,Other,West,937,616.96,Silver
C00086,31,Male,Southeast,1635,77.93,Bronze
C00087,48,Male,Southwest,612,652.9,Silver
C00088,41,Male,Midwest,284,626.71,Silver
C00089,31,Male,West,485,105.2,Bronze
C00090,44,Male,Southeast,672,1031.51,Gold
C00091,39,Female,Northeast,590,65.95,Bronze
C00092,49,Female,West,562,139.45,Bronze
C00093,29,Male,Northeast,1445,376.57,Silver
C00094,34,Female,Midwest,349,113.5,Bronze
C00095,33,Female,Northeast,249,310.27,Silver
C00096,20,Female,West,728,303.98,Silver
C00097,41,Female,Southwest,1467,206.78,Bronze
C00098,41,Female,Midwest,61,517.58,Silver
C00099,38,Female,West,744,199.23,Bronze
C00100,35,Female,Midwest,783,301.38,Silver
C00101,21,Female,Midwest,1069,686.65,Silver
C00102,32,Male,Southwest,438,498.51,Silver
C00103,33,Male,Southwest,857,496.42,Silver
C00104,28,Female,West,202,86.99,Bronze
C00105,36,Male,Southeast,1702,392.41,Silver
C00106,42,Male,Midwest,1232,110.98,Bronze
C00107,60,Female,Southeast,1626,77.23,Bronze
C00108,40,Male,Midwest,1550,229.4,Bronze
C00109,41,Female,Midwest,965,108.43,Bronze
C00110,37,Female,West,1157,498.48,Silver
C00111,18,Female,Southwest,1370,509.32,Silver
C00112,37,Female,Southeast,736,44.15,Bronze
C00113,38,Male,Northeast,1821,116.11,Bronze
C00114,67,Female,Southwest,1005,65.77,Bronze
C00115,35,Female,Northeast,1641,161.36,Bronze
C00116,41,Other,West,812,368.58,Silver
C00117,37,Male,Northeast,1234,196.75,Bronze
C00118,23,Male,Southeast,161,143.91,Bronze
C00119,51,Female,Southwest,692,788.52,Silver
C00120,47,Male,Northeast,1208,30.74,Bronze
C00121,47,Female,Midwest,388,744.85,Silver
C00122,27,Male,Southeast,1288,149.93,Bronze
C00123,54,Male,Southwest,789,228.08,Bronze
C00124,21,Male,Southwest,194,152.23,Bronze
C00125,45,Male,Southeast,746,981.03,Gold
C00126,64,Female,Northeast,456,80.81,Bronze
C00127,26,Female,West,706,247.29,Bronze
C00128,31,Male,Southeast,517,393.35,Silver
C00129,39,Female,West,242,57.4,Bronze
C00130,31,Male,Northeast,795,106.92,Bronze
C00131,19,Female,Northeast,186,214.14,Bronze
C00132,38,Male,West,1742,110.17,Bronze
C00133,25,Female,Northeast,1128,117.44,Bronze
C00134,43,Female,Southwest,464,178.6,Bronze
C00135,26,Female,Northeast,1231,439.05,Silver
C00136,56,Female,Northeast,871,179.75,Bronze
C00137,28,Female,Southwest,674,645.86,Silver
C00138,34,Female,Midwest,1690,99.69,Bronze
C00139,47,Female,West,341,79.3,Bronze
C00140,23,Female,Northeast,156,1385.35,Gold
C00141,40,Female,West,406,135.35,Bronze
C00142,53,Male,West,1398,75.2,Bronze
C00143,18,Female,Southeast,254,51.02,Bronze
C00144,40,Male,West,1070,643.93,Silver
C00145,41,Female,West,526,179.98,Bronze
C00146,47,Female,Southeast,502,194.74,Bronze
C00147,23,Female,Midwest,1364,212.03,Bronze
C00148,22,Male,Midwest,1811,608.9,Silver
C00149,44,Male,Northeast,1190,208.18,Bronze
C00150,41,Female,Southeast,504,2017.57,Gold
C00151,41,Female,Southeast,246,276.0,Bronze
C00152,42,Male,Southeast,225,636.26,Silver
C00153,29,Male,West,230,505.08,Silver
C00154,40,Female,Midwest,395,236.8,Bronze
C00155,41,Female,Southwest,748,144.28,Bronze
C00156,29,Male,Southeast,1581,329.89,Silver
C00157,60,Male,Southeast,429,387.26,Silver
C00158,43,Male,West,1578,146.16,Bronze
C00159,23,Female,Midwest,619,284.21,Bronze
C00160,45,Male,Midwest,243,744.4,Silver
C00161,26,Male,Northeast,370,1576.49,Gold
C00162,47,Male,Southeast,1382,527.91,Silver
C00163,51,Male,Southeast,988,1308.3,Gold
C00164,28,Female,Southwest,148,138.87,Bronze
