date,ad_spend,email_sends,visitors,revenue
2024-01-01,3642.65,20637,5381,11080.79
2024-01-02,2136.96,2239,3847,6476.74
2024-01-03,1829.93,39359,4133,9057.7
2024-01-04,709.28,47454,1929,7014.33
2024-01-05,4528.28,27126,6184,15255.85
2024-01-06,3955.23,25965,5151,16200.51
2024-01-07,3426.99,28512,6580,14811.46
2024-01-08,3972.71,11635,6597,13723.59
2024-01-09,3290.82,44080,5345,11893.64
2024-01-10,2657.34,31238,4804,8550.23
2024-01-11,4840.15,18775,7383,15829.29
2024-01-12,3960.17,24700,5421,12841.43
2024-01-13,2899.6,43301,4795,13107.09
2024-01-14,4735.9,49379,6925,20110.53
2024-01-15,2983.55,31013,4282,10813.04
2024-01-16,2657.28,13220,5099,8116.28
2024-01-17,817.09,37743,1669,4551.72
2024-01-18,4749.92,37306,6545,15117.41
2024-01-19,2713.24,27787,4950,11132.0
2024-01-20,2189.57,46598,3157,12692.89
2024-01-21,581.03,48799,1306,5093.09
2024-01-22,4149.7,41508,5550,11901.84
2024-01-23,2863.8,8602,3971,8239.3
2024-01-24,4020.83,43220,4633,14470.32
2024-01-25,4829.06,32121,6474,17491.86
2024-01-26,4615.74,21854,6519,14351.51
2024-01-27,4516.96,36555,6904,18356.79
2024-01-28,1468.8,6671,2725,8953.22
2024-01-29,3344.02,47737,5533,12078.85
2024-01-30,3148.8,1171,4345,7952.92
2024-01-31,3914.33,24803,5424,12100.5
2024-02-01,1340.17,16990,3343,5649.92
2024-02-02,1432.11,39543,1785,7955.57
2024-02-03,3664.83,3897,5293,14570.52
2024-02-04,4838.1,48539,7285,21553.9
2024-02-05,1376.38,23447,2310,6753.99
2024-02-06,4879.04,18310,7704,14685.14
2024-02-07,513.33,32170,1980,4672.09
2024-02-08,3952.92,20781,6285,13285.54
2024-02-09,3362.74,40681,5004,12042.75
2024-02-10,3707.85,2526,5561,13845.38
2024-02-11,4246.94,3043,5044,18350.5
2024-02-12,1104.65,32536,3104,6278.26
2024-02-13,2702.31,22927,4523,9765.11
2024-02-14,4552.03,19002,5839,13126.75
2024-02-15,4927.47,29574,6848,14528.49
2024-02-16,3393.56,40501,4919,12959.72
2024-02-17,4543.79,2345,7135,17496.84
2024-02-18,1614.47,1679,2438,8245.64
2024-02-19,3984.67,34974,5275,13532.68
2024-02-20,4393.61,30335,6873,13283.93
2024-02-21,4772.9,12430,6059,13576.11
2024-02-22,3098.39,40731,4826,9210.94
2024-02-23,4932.81,26790,6787,15403.16
2024-02-24,3942.19,40197,5297,17706.42
2024-02-25,2929.77,26008,4989,14209.14
2024-02-26,770.4,20596,1474,4460.97
2024-02-27,736.03,36962,2335,7170.08
2024-02-28,4124.41,36543,5915,12733.14
2024-02-29,4238.47,9657,5843,11466.86
2024-03-01,4496.42,23859,6413,13249.7
2024-03-02,2878.94,25547,4689,12190.67
2024-03-03,1008.73,28017,2070,7210.22
2024-03-04,4525.68,17841,6573,14032.83
2024-03-05,2200.02,4200,3026,6899.42
2024-03-06,3511.92,36667,4864,12096.04
2024-03-07,4448.64,17840,6191,14360.24
2024-03-08,1107.25,16039,3232,5959.06
2024-03-09,3315.59,27091,4586,15800.46
2024-03-10,4405.05,28669,7502,18671.19
2024-03-11,921.6,43665,1517,5051.28
2024-03-12,649.2,38507,2484,4150.13
2024-03-13,1087.43,47667,2044,7122.67
2024-03-14,4949.25,17556,7638,14880.18
2024-03-15,3789.18,36317,6183,13277.27
2024-03-16,3195.35,47942,5073,15686.02
2024-03-17,3135.14,25347,5353,13578.16
2024-03-18,3810.41,28562,4511,11660.34
2024-03-19,3019.74,38463,4346,11918.85
2024-03-20,505.82,40567,2655,5559.12
2024-03-21,1525.17,48844,2443,8028.79
2024-03-22,3774.2,20578,5894,12337.93
2024-03-23,4438.75,36992,6481,16505.63
2024-03-24,3102.12,7175,4045,13027.86
2024-03-25,3168.53,26205,4817,11512.68
2024-03-26,3858.17,17503,5339,12286.27
2024-03-27,3562.55,5981,5302,10963.4
2024-03-28,4659.04,23456,6546,15673.68
