order_id,customer_id,order_date,category,num_items,order_value,shipping_cost,days_to_deliver
O000001,C02264,2024-05-11,Clothing,3,96.79,0.0,6
O000002,C00283,2024-03-22,Sports,3,139.56,0.0,4
O000003,C02621,2024-12-05,Home,2,96.32,0.0,3
O000004,C03287,2024-10-22,Clothing,4,153.17,0.0,7
O000005,C00172,2024-12-25,Electronics,4,118.65,0.0,3
O000006,C03457,2024-04-21,Clothing,1,24.29,12.82,3
O000007,C01883,2024-10-29,Sports,4,194.54,0.0,7
O000008,C02276,2024-11-01,Electronics,2,54.11,6.98,3
O000009,C02622,2024-02-20,Beauty,5,184.96,0.0,4
O000010,C00601,2024-10-20,Home,4,190.64,0.0,3
O000011,C03791,2024-07-07,Clothing,3,29.39,6.8,3
O000012,C02024,2024-07-26,Sports,1,36.27,6.13,3
O000013,C00467,2024-05-28,Electronics,1,58.24,12.98,3
O000014,C03951,2024-09-21,Electronics,5,244.42,0.0,6
O000015,C03890,2024-10-07,Clothing,1,41.83,10.93,5
O000016,C04393,2024-04-22,Beauty,5,147.37,0.0,5
O000017,C02593,2024-02-05,Beauty,3,140.12,0.0,2
O000018,C01020,2024-04-20,Home,3,58.54,6.83,3
O000019,C01548,2024-06-19,Beauty,5,210.09,0.0,1
O000020,C04757,2024-03-18,Clothing,4,187.86,0.0,4
O000021,C04750,2024-12-02,Sports,3,182.17,0.0,6
O000022,C04898,2024-01-28,Clothing,2,98.62,0.0,3
O000023,C04437,2024-02-14,Electronics,2,75.94,0.0,3
O000024,C00704,2024-12-26,Clothing,2,51.71,8.18,4
O000025,C00853,2024-10-30,Electronics,5,125.43,0.0,2
O000026,C00306,2024-05-21,Sports,3,72.45,11.35,3
O000027,C03579,2024-01-15,Electronics,1,28.32,8.73,4
O000028,C01934,2024-05-07,Clothing,1,28.44,11.56,2
O000029,C01788,2024-06-15,Electronics,2,43.47,11.74,1
O000030,C03788,2024-06-01,Home,4,161.88,0.0,6
O000031,C00874,2024-03-03,Clothing,1,44.26,7.68,4
O000032,C01582,2024-02-28,Electronics,1,23.86,7.21,2
O000033,C03958,2024-07-21,Clothing,4,23.09,9.33,5
O000034,C04591,2024-06-05,Beauty,4,134.12,0.0,6
O000035,C03333,2024-01-03,Beauty,2,84.16,0.0,2
O000036,C01686,2024-02-08,Electronics,2,67.15,7.64,4
O000037,C01606,2024-10-04,Electronics,1,5.0,10.8,4
O000038,C00896,2024-04-10,Clothing,2,62.07,7.87,8
O000039,C03264,2024-06-17,Home,6,281.58,0.0,4
O000040,C03425,2024-01-20,Home,1,9.67,5.56,4
O000041,C03854,2024-05-20,Clothing,2,94.69,0.0,3
O000042,C02347,2024-12-12,Clothing,3,114.77,0.0,4
O000043,C03532,2024-10-01,Sports,2,70.23,10.47,5
O000044,C02475,2024-11-17,Electronics,4,203.92,0.0,4
O000045,C01862,2024-07-11,Clothing,6,202.63,0.0,2
O000046,C02764,2024-05-31,Home,7,333.23,0.0,2
O000047,C04853,2024-08-23,Home,2,37.42,12.4,6
O000048,C00031,2024-10-20,Sports,3,141.69,0.0,5
O000049,C04008,2024-07-26,Sports,9,300.54,0.0,3
O000050,C03456,2024-02-06,Electronics,3,35.07,11.09,3
O000051,C00243,2024-03-18,Electronics,4,79.62,0.0,7
O000052,C04782,2024-06-20,Clothing,2,66.07,7.45,5
O000053,C01499,2024-02-14,Beauty,5,138.86,0.0,4
O000054,C04669,2024-12-02,Beauty,4,154.64,0.0,4
O000055,C03423,2024-03-24,Clothing,1,29.75,7.03,7
O000056,C04004,2024-04-02,Clothing,4,74.8,7.13,3
O000057,C01660,2024-06-02,Electronics,4,154.43,0.0,5
O000058,C03229,2024-04-15,Beauty,3,73.36,9.5,5
O000059,C00599,2024-12-23,Home,1,46.02,6.22,3
O000060,C02196,2024-07-27,Beauty,5,208.66,0.0,2
O000061,C00070,2024-07-22,Sports,4,181.0,0.0,4
